ID,season,door,x,y,food_x,food_y
20200804-3,summer ,B,117.442052,105.105702,132.245672,134.219488
20200804-3,summer ,C,176.409805,60.448115,132.245672,134.219488
20200804-3,summer ,D,224.274843,121.883138,132.245672,134.219488
20200810-2,summer ,A,179.123802,161.606185,152.97074,128.544767
20200810-2,summer ,B,134.959669,98.444073,152.97074,128.544767
20200810-2,summer ,C,194.667603,54.526667,152.97074,128.544767
20200810-2,summer ,D,243.026095,116.701871,152.97074,128.544767
20200625-3,winter,A,58.956128,87.603824,150.089016,28.440104
20200625-3,winter,B,120.610952,18.475688,150.089016,28.440104
20200625-3,winter,C,188.701128,83.451984,150.089016,28.440104
20200625-3,winter,D,122.894464,149.673832,150.089016,28.440104
20200804-2,winter,A,71.411648,83.659576,164.620456,27.817328
20200804-2,winter,B,135.349984,17.437728,164.620456,27.817328
20200804-2,winter,C,200.741464,83.659576,164.620456,27.817328
20200804-2,winter,D,137.841088,149.051056,164.620456,27.817328
20201031-1,winter,A,71.411648,83.659576,149.46624,30.723616
20201031-1,winter,B,135.349984,17.437728,149.46624,30.723616
20201031-1,winter,C,200.741464,83.659576,149.46624,30.723616
20201031-1,winter,D,137.841088,149.051056,149.46624,30.723616
20201101-3,winter,A,67.4674,86.773456,159.638248,27.194552
20201101-3,winter,B,132.651288,19.098464,159.638248,27.194552
20201101-3,winter,C,196.17444,84.282352,159.638248,27.194552
20201101-3,winter,D,133.274064,150.296608,159.638248,27.194552
20201103-1,winter,A,71.826832,85.943088,166.0736,29.685656
20201103-1,winter,B,135.97276,19.72124,166.0736,29.685656
20201103-1,winter,C,200.741464,85.527904,166.0736,29.685656
20201103-1,winter,D,137.218312,149.258648,166.0736,29.685656
20201103-4,winter,A,62.2776,82.206432,157.354736,31.761576
20201103-4,winter,B,130.160184,19.513648,157.354736,31.761576
20201103-4,winter,C,191.192232,87.603824,157.354736,31.761576
20201103-4,winter,D,124.140016,149.258648,157.354736,31.761576
20201103-5,winter,A,62.2776,82.206432,149.46624,39.234888
20201103-5,winter,B,130.160184,19.513648,149.46624,39.234888
20201103-5,winter,C,191.192232,87.603824,149.46624,39.234888
20201103-5,winter,D,124.140016,149.258648,149.46624,39.234888
20201104-1,winter,A,62.900376,82.829208,154.65604,28.855288
20201104-1,winter,B,128.499448,18.890872,154.65604,28.855288
20201104-1,winter,C,191.815008,83.244392,154.65604,28.855288
20201104-1,winter,D,127.046304,148.220688,154.65604,28.855288
20201106-2,winter,A,74.525528,87.811416,170.017848,30.723616
20201106-2,winter,B,138.671456,22.627528,170.017848,30.723616
20201106-2,winter,C,201.36424,87.18864,170.017848,30.723616
20201106-2,winter,D,138.463864,150.089016,170.017848,30.723616
20201101-1,winter,A,75.978672,89.26456,159.015472,41.933584
20201101-1,winter,B,131.82092,32.799536,159.015472,41.933584
20201101-1,winter,C,187.455576,87.396232,159.015472,41.933584
20201101-1,winter,D,133.274064,143.653664,159.015472,41.933584
20201103-1,winter,A,66.42944,84.282352,159.223064,30.10084
20201103-1,winter,B,130.160184,19.513648,159.223064,30.10084
20201103-1,winter,C,194.306112,83.244392,159.223064,30.10084
20201103-1,winter,D,131.405736,147.39032,159.223064,30.10084
20201103-3,winter,A,70.788872,85.11272,163.167312,27.609736
20201103-3,winter,B,133.689248,18.475688,163.167312,27.609736
20201103-3,winter,C,198.873136,81.583656,163.167312,27.609736
20201103-3,winter,D,135.765168,147.182728,163.167312,27.609736
20201106-1,winter,A,74.110344,87.18864,166.0736,30.931208
20201106-1,winter,B,140.1246,21.79716,166.0736,30.931208
20201106-1,winter,C,202.4022,85.527904,166.0736,30.931208
20201106-1,winter,D,139.294232,149.258648,166.0736,30.931208
